ISLAND,TRANSECTID,OCC_SITEID,REA_SITE,SITE_DEPTH_M,LATITUDE,LONGITUDE,REGION,STATUS,INSTRUMENTS
JAR,JAR-N,OCC-JAR-017,JAR-235,29.3,-0.36291,-159.99118,PRIA,Inactive,STR
JAR,JAR-NE,OCC-JAR-018,JAR-01,11.3,-0.36782,-159.97911,PRIA,Inactive,"SBE37, PH"
JAR,JAR-E,OCC-JAR-019,JAR-422,33.2,-0.37505,-159.97227,PRIA,Inactive,STR
JAR,,OCC-JAR-020,JAR-1715,0.2,-0.37947,-159.97845,PRIA,Inactive,SST-STR
JAR,,OCC-JAR-021,JAR-1715,9.1,-0.37947,-159.97845,PRIA,Inactive,"ANCHOR, STR"
JAR,JAR-SE,OCC-JAR-022,JAR-112,10.1,-0.38187,-159.99663,PRIA,Inactive,STR
JAR,JAR-SE,OCC-JAR-023,JAR-112,32.3,-0.38209,-159.99663,PRIA,Inactive,STR
JAR,JAR-E,OCC-JAR-024,JAR-2049,10.1,-0.37568,-159.97453,PRIA,Inactive,STR
JAR,JAR-W,OCC-JAR-025,JAR-769,10.1,-0.36889,-160.00808,PRIA,Inactive,"STR, ADP, ANCHOR, BATTERY"
JAR,JAR-W,OCC-JAR-026,JAR-769,32.3,-0.36889,-160.00835,PRIA,Inactive,STR
JAR,,OCC-JAR-027,JAR-2050,0.3,-0.37555,-159.97426,PRIA,Inactive,SST-STR
JAR,JAR-E,OCC-JAR-028,JAR-2051,13.7,-0.37558,-159.97435,PRIA,Inactive,"ANCHOR, STR"
JAR,,OCC-JAR-029,JAR-459,0.3,-0.3754,-159.9737,PRIA,Inactive,SST-STR
JAR,,OCC-JAR-030,JAR-10,13.7,-0.38055,-159.9731,PRIA,Inactive,CAU
JAR,,OCC-JAR-031,JAR-523,7,-0.37172299,-159.98286,PRIA,Inactive,
JOH,JOH-N,OCC-JOH-001,JOH-2000,24.7,16.7864,-169.46085,PRIA,Active,STR
JOH,JOH-N,OCC-JOH-002,JOH-2001,15.5,16.78616,-169.46084,PRIA,Active,STR
JOH,JOH-N,OCC-JOH-003,JOH-2002,6.1,16.78491,-169.46112,PRIA,Active,STR
JOH,,OCC-JOH-004,JOH-07,12.2,16.7116,-169.47961,PRIA,Active,CAU
JOH,JOH-S,OCC-JOH-005,JOH-1999,25,16.67068,-169.52682,PRIA,Active,STR
JOH,JOH-S,OCC-JOH-006,JOH-56,15.2,16.69167,-169.527,PRIA,Active,"STR, EAR, CAU"
JOH,JOH-S,OCC-JOH-007,JOH-11,5.2,16.7217,-169.52435,PRIA,Active,STR
JOH,JOH-W,OCC-JOH-008,JOH-2003,24.7,16.73615,-169.55146,PRIA,Active,STR
JOH,JOH-W,OCC-JOH-009,JOH-2004,14.9,16.73536,-169.55117,PRIA,Active,STR
JOH,JOH-W,OCC-JOH-010,JOH-2005,1.2,16.7328,-169.5467,PRIA,Active,STR
JOH,,OCC-JOH-011,JOH-10,14.6,16.76343,-169.5119,PRIA,Active,CAU
JOH,,OCC-JOH-012,JOH-2006,3,16.71479,-169.55503,PRIA,Inactive,STR
JOH,,OCC-JOH-013,JOH-2007,2.7,16.74807,-169.52672,PRIA,Inactive,STR
JOH,,OCC-JOH-014,JOH-2008,23.6,16.67025,-169.56607,PRIA,Inactive,WTR
JOH,,OCC-JOH-015,JOH-2009,8.8,16.75957,-169.49969,PRIA,Inactive,"STR, ANCHOR"
JOH,,OCC-JOH-016,JOH-2010,0.2,16.75957,-169.49969,PRIA,Inactive,SST-STR
JOH,,OCC-JOH-017,JOH-2011,2.4,16.74064,-169.48522,PRIA,Inactive,STR
JOH,,OCC-JOH-018,JOH-09,8.1,16.7286,-169.48565,PRIA,Inactive,CAU
JOH,,OCC-JOH-019,JOH-11,9.5,16.72188,-169.52398,PRIA,Inactive,CAU
JOH,,OCC-JOH-020,JOH-12,11.4,16.74728,-169.52397,PRIA,Inactive,CAU
KAU,KAU-E,OCC-KAU-001,KAU-9000,22.9,21.99821,-159.3279,MHI,Active,STR
KAU,KAU-E,OCC-KAU-002,KAU-2167,14.9,21.99846,-159.32854,MHI,Active,STR
KAU,KAU-S,OCC-KAU-003,KAU-2168,25.3,21.87575,-159.52532,MHI,Active,STR
KAU,KAU-S,OCC-KAU-004,KAU-22,15.8,21.87667,-159.5255,MHI,Active,"STR, CAU"
KAU,KAU-S,OCC-KAU-005,KAU-2169,5.5,21.88223,-159.52549,MHI,Active,STR
KAU,KAU-NW,OCC-KAU-006,KAU-2170,26.2,22.17144,-159.68715,MHI,Active,STR
KAU,KAU-NW,OCC-KAU-007,KAU-21,14.6,22.16845,-159.68573,MHI,Active,"STR, CAU"
KAU,KAU-NW,OCC-KAU-008,KAU-2171,5.2,22.16451,-159.68329,MHI,Inactive,STR
KAU,,OCC-KAU-010,KAU-05,6.1,21.86884,-159.44746,MHI,Inactive,STR
KAU,,OCC-KAU-011,KAU-15,18.6,22.13799,-159.76134,MHI,Inactive,"EAR, STR, ANCHOR"
KAU,,OCC-KAU-012,KAU-2172,25.5,22.12336,-159.77701,MHI,Inactive,"WTR, ANCHOR"
KAU,,OCC-KAU-013,KAU-2173,2.1,22.22839,-159.55998,MHI,Inactive,WTR
KAU,,OCC-KAU-014,KAU-2174,14,22.23573,-159.47188,MHI,Inactive,WTR
KAU,,OCC-KAU-015,KAU-2175,15.2,22.21593,-159.5135,MHI,Inactive,"ADP, ANCHOR, SBE37"
KAU,,OCC-KAU-016,KAU-2176,14.9,22.16533,-159.29895,MHI,Inactive,STR
KIM,,OCC-KIM-001,KIM-04,3.7,-5.32534,150.29812,CORALTRI,Inactive,STR
KIM,,OCC-KIM-002,KIM-04,24.7,-5.32531,150.2982,CORALTRI,Inactive,STR
